python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
basic,英 [?be?s?k]美 [?bes?k],adj. 基本的; [化学]碱性的; [地质学]基性的; 首要的; n. 基础，基本; 基本原则，基
control,英 [k?n?tr??l]美 [k?n?tro?l],vt. 控制; 管理; 限制; 支配; n. 支配权; 操纵者; （对国家、地区、机构等的）管理权;
parser,英 ['pɑ:s?]美 ['pɑs?],n. 剖析器;
design,英 [d??za?n]美 [d??za?n],vt.& vi. 设计; 绘制; vt. 设计; 计划; 企图; 决意（做）; n. 设计; 图案;
alternative,英 [?:l?t?:n?t?v]美 [?l?t?rn?t?v],adj. 替代的; 另类的; 备选的; 其他的; n. 可供选择的事物;
flask,英 [flɑ:sk]美 [fl?sk],n. 瓶，长颈瓶; [化]烧瓶; 火药筒; [机]沙箱;
handler,英 [?h?ndl?(r)]美 [?h?ndl?],n. 处理者，管理者; （动物）驯化者; [自]（信息）处理机; 拳击教练;
together,英 [t??gee?(r)]美 [t??ɡ?e?],adv. 在一起; 同时; 一致地; 不间断地; adj. 稳定可靠的; 做事有效率的;
development,英 [d??vel?pm?nt]美 [d??v?l?pm?nt],n. 发展，进化; 被发展的状态; 新生事物，新产品; 开发区;
existing,英 [?g?z?st??]美 [?ɡ?z?st??],adj. 现存的; 目前的; v. 存在( exist的现在分词); 持续存在;
approach,英 [??pr??t?]美 [??pro?t?],vt.& vi. 接近，走近，靠近; vt. 接近; 着手处理; 使移近; 试图贿赂（或影响，疏通）
usage,"英 [?ju:s?d?]美 [?jus?d?, -z?d?]",n. 使用; 用法; 习惯; 惯例;
inheritance,英 [?n?her?t?ns]美 [?n?h?r?t?ns],n. 继承; 遗传; 遗产;
allow,英 [??la?]美 [??la?],vt. 允许; 承认; 给予; 准许（做某事）; vi. 容许; 考虑;
regular,英 [?regj?l?(r)]美 [?r?ɡj?l?],adj. 有规律的; 规则，整齐的; 不变的; 合格的; n. 正规军; 主力（或正式）队员; 常客
option,英 [??p?n]美 [?ɑp?n],n. 选项; 选择权; 选择（的自由）; 选择能力; vt. 得到或获准进行选择; 调动球员;
alist,英 ['?l?st]美 ['?l?st],adj.& adv. 船向一边倾斜的[地];
iteration,英 [??t??re??n]美 [??t??re??n],n. 反复; 重述; 重述的事; [计算机]循环;
split,英 [spl?t]美 [spl?t],vt. 分裂; 分开; <俚>（迅速）离开; 分担; n. 划分; 分歧; 裂缝; 劈叉; vi. 
block,英 [bl?k]美 [blɑk],n. 块; 街区; <英>大楼，大厦; 障碍物，阻碍; vt. 阻止; 阻塞; 限制;
software,英 [?s?ftwe?(r)]美 [?s?ftwer],n. 软件; 软体; 软设备;
masked,英 [mɑ:skt]美 [m?skt],adj. 戴面具的; 化妆的; 隐蔽的; [医]潜伏的，不明的; v. 伪装; mask的过去式和过
environment,"英 [?n?va?r?nm?nt]美 [?n?va?r?nm?nt, -?va??n-]",n. 环境，外界; 周围，围绕; 工作平台; （运行）环境;
convert,英 [k?n?v?:t]美 [k?n?v?rt],vt. （使）转变; 使皈依; 兑换，换算; 侵占; vi. 经过转变; 被改变; [橄榄球] 触地
figure,英 [?f?g?(r)]美 [?f?gj?r],n. 人物; 数字; 身材; 算术; vi. 计算; 出现; 扮演角色; vt. 计算在内; 估计;
callable,英 ['k?:l?bl]美 ['k?l?b?l],adj. 可随时支取的，请求即付的，随时可偿还的;
whether,"英 [?wee?(r)]美 [?hw?e?, ?w?e-]",pron. 其中的哪一个; n. 可能的选择;
complex,英 [?k?mpleks]美 [k?m?pleks],adj. 复杂的; 难懂的; 复合的; n. 情结; 建筑群; 相关联的一组事物; 不正常的忧虑;
group,英 [gru:p]美 [ɡrup],n. 组，团体; 群，批; （雕塑等的）群像; （英美的）空军大队; vt.& vi. 使成群，集合
select,英 [s??lekt]美 [s??l?kt],vt. 选择; 挑选; 选拔; adj. 精选的; 挑选出来的; 苛择的; 〈口〉爱挑三拣四的，挑剔
replace,英 [r??ple?s]美 [r??ples],vt. 代替; 替换; 把…放回原位; （用…）替换;
further,英 [?f?:e?(r)]美 [?f?re?(r)],adj. 更多的; 更远的，较远的; 更进一步的，深一层的; adv. 进一步地; 更远地; 而且;
filter,英 [?f?lt?(r)]美 [?f?lt?],n. 滤波器; 滤光器; 滤色镜; [化] 过滤器; vi. 过滤; 透过; 渗透; vt. 过滤;
setup,英 ['set?p]美 [?s?t??p],n. 计划; <口>组织; 姿势; <口>故意安排使一方易胜的比赛;
provided,英 [pr??va?d?d]美 [pr??va?d?d],conj. 如果; 假如; 在…的条件下; v. 提供，供给( provide的过去式和过去分词);
additional,英 [??d???nl]美 [?'d???nl],adj. 补充; 额外的，附加的; 另外的，追加的; 外加;
resulting,英 [r?'z?lt??]美 [r?'z?lt??],adj. 作为结果的，因而发生的; v. 导致; 发生( result的现在分词 ); 随着发生; 
suppose,英 [s??p??z]美 [s??po?z],vt. 认为; 假定; 猜想，推测; 让（用于祈祷语气）; vi. 想象，猜想;
buffer,英 [?b?f?(r)]美 [?b?f?],n. 缓冲器; 起缓冲作用的人（或物）; [化]缓冲液，缓冲剂; [计]缓冲区; vt. 缓冲; [
admin,英 [??dm?n]美 ['?dm?n],abbr. 管理，行政;
remove,英 [r??mu:v]美 [r??muv],vt. 去除; 开除; 脱掉，拿下; 迁移; vi. 迁移，移居; 离开; n. 距离，差距; 移动
countdown,英 [?ka?ntda?n]美 [?ka?nt?da?n],n. 倒数读秒，倒计时; 大事临近的时期; 准备过程，准备工作;
style,英 [sta?l]美 [sta?l],n. 方式; 样式; 时髦; 仪表，品位; vt. 设计; 称呼; 为…造型; vi. 使符合流行式
inside,"英 [??n?sa?d]美 [?n?sa?d, ??n?sa?d]",adj. 里面的，内部的; 内幕的; 内侧的; n. 里面，内侧; 内脏; 内容，内幕; （道路或跑
execute,英 [?eks?kju:t]美 [??ks??kjut],vt. 执行; 完成; 履行; 处死，处决;
performance,英 [p??f?:m?ns]美 [p?r?f?rm?ns],n. 表现; 表演; 演技; 执行;
avoid,英 [??v??d]美 [??v??d],vt. 避开，避免，预防; [法]使无效，撤销，废止;
collection,英 [k??lek?n]美 [k??l?k??n],n. 征收; 收集，采集; 收藏品; 募捐;
particular,英 [p??t?kj?l?(r)]美 [p?r?t?kj?l?(r)],adj. 特别的; 详细的; 独有的; 挑剔的; n. 特色，特点; （可分类，列举的）项目; 详细
protocol,英 [?pr??t?k?l]美 [?pro?t?k?l],n. 礼仪; （外交条约的）草案; （数据传递的）协议; 科学实验报告（或计划）; vt. 把…写入
session,英 [?se?n]美 [?s???n],n. 开会，会议; （法庭的）开庭; 会期，学期; （进行某活动连续的）一段时间;
callback,英 [?k?:lb?k]美 [?k?l?b?k],n. 回收，回叫信号，复查;
accept,英 [?k?sept]美 [?k?s?pt],vi. 承认; 同意; 承兑; vt. 接受; 承认; 承担; 承兑;
location,英 [l???ke??n]美 [lo??ke??n],n. 定位; 位置，场所; 外景（拍摄地）;
month,英 [m?nθ]美 [m?nθ],n. 月，月份; 一个月的时间;
otherwise,英 [??e?wa?z]美 [??e?rwa?z],adv. 否则; 另外; 别的方式; adj. 别的，另外的; 不同的; conj. 否则，不然;
pickle,英 [?p?kl]美 [?p?k?l],vt. 腌渍（泡菜等）; n. 腌菜，泡菜; 腌制食品; 遇到麻烦，处于困境;
action,英 [??k?n]美 [??k??n],n. 行动，活动; 功能，作用; 手段; [法]诉讼;
least,英 [li:st]美 [list],adj. 最小的; 最少的（ little的最高级）; 最不重要的，地位最低的; adv. 最少，最
nested,英 [nest?d]美 [nest?d],adj. 嵌套的; v. 筑巢( nest的过去式和过去分词 );
previous,英 [?pri:vi?s]美 [?privi?s],adj. 以前的; 先前的; 过早的; （时间上）稍前的; adv. 在先，在…以前;
divide,英 [d??va?d]美 [d??va?d],vt.& vi. 分; 划分; 分离; （使）产生分歧; n. 分配; 分水岭，分界线;
notice,英 [?n??t?s]美 [?no?t?s],n. 注意; 预告; 布告; 警告; vt.& vi. 注意; vt. 通知; 注意到; 留心; 关
bound,英 [ba?nd]美 [ba?nd],vi. 跳，弹跳; 限制; 接壤; vt. 束缚; 给…划界，限制; 使弹回，使跳跃; n. 界限，
rather,英 [?rɑ:e?(r)]美 [?r?e?r],adv. 宁愿; 稍微，有点; 相当，颇; 相反地; int. 当然啦，怎么不;
functionality,英 [?f??k???n?l?ti]美 [?f??k???n?l?ti],n. 功能性; （计算机或电子系统的）功能; 设计目的; 实用;
record,英 [?rek?:d]美 [?rek?rd],n. 唱片; 记录，记载; 档案，履历; 最高纪录; vt.& vi. 记录，记载; 标明; 录音;
store,"英 [st?:(r)]美 [st?r, stor]",n. 商店; 贮存物; 仓库; 大量; v. 贮存; （在计算机里）存储;
project,英 [?pr?d?ekt]美 [?prɑd?ekt],vt. 计划; 放映; 发射; 展现，使突出; vi. 伸出，突出; n. 项目，工程; 计划，规划
addition,英 [??d??n]美 [??d???n],n. 加，增加，附加; [数]加法; 增加的人或事物;
frame,英 [fre?m]美 [frem],n. 框架; 边框; 眼镜框; 组织; vt. 陷害; 设计; 表达; 使适合（某一特殊用途）; a
query,英 [?kw??ri]美 [?kw?ri],n. 询问; 问题; 疑问; 问号; vt. 质疑，对…表示疑问; vi. 询问; 表示怀疑;
ordered,英 [??:d?d]美 [??rd?rd],adj. 安排好的，整齐的，规则的; v. 订购; （医生）开（处方）( order的过去式和过去分
generic,英 [d???ner?k]美 [d???n?r?k],adj. 一般的; 类的，属性的; 不受商标保护的; [生]属的，类的; n. 同“a generi
update,英 [??p?de?t]美 [?p?det],vt. 更新，使现代化; 校正，修正; n. 现代化; 更新的信息; 更新的行为或事例;
global,英 [?gl??bl]美 [?glo?bl],adj. 全球的，全球性的，有关全球大局的; 全面的，整体的，全局的; 球形的，球状的，球面的，球体
stream,英 [stri:m]美 [strim],n. 河流，小河，川，溪; 潮流，趋势，倾向; （事件等的）连续，（财富等的）滚滚而来; 流出，流注
purpose,英 [?p?:p?s]美 [?p?rp?s],n. 目的; 意志; 作用; （进行中的）行动; vt. 有意; 打算; 企图（做）; 决意（做）;
entire,英 [?n?ta??(r)]美 [?n?ta?r],adj. 整个的; 全部的; 全体的; 囫囵;
specify,英 [?spes?fa?]美 [?sp?s??fa?],vt. 指定; 详述; 提出…的条件; 使具有特性; vi. 明确提出，详细说明;
register,英 [?red??st?(r)]美 [?r?d??st?],n. 记录; 登记簿; 登记，注册; 自动记录器; vt. 登记，注册; （仪表等）指示; 表示，表
distance,英 [?d?st?ns]美 [?d?st?ns],n. 远处; 距离，路程; 疏远; （时间的）间隔，长久; vt. 把…远远甩在后面; 疏远; 与…
final,英 [?fa?nl]美 [?fa?n?l],adj. 最后的，最终的; 决定性的; 不可更改的; n. 决赛; 结局; 期末考试; 〈口〉（报纸
equivalent,英 [??kw?v?l?nt]美 [??kw?v?l?nt],adj. 相等的，相当的，等效的; 等价的，等积的; [化学]当量的; n. 对等物; [化学]当量
listing,英 [?l?st??]美 [?l?st??],n. 列表; 名单; （刊印在报纸上的如电影、戏剧等; （名单中的）一个位置; v. 列表(list
looking,英 ['l?k??]美 ['l?k??],adj. 有…样子的，有…相貌的; v. 寻找; 看，瞧( look的现在分词 ); 注意; 面向;
separate,英 [?sepr?t]美 ['sep?re?t],vt.& vi. 分开; （使）分离; 区分; 隔开; vt. 分离（混合物）; 分居; 分类; 割
learn,英 [l?:n]美 [l?rn],vt.& vi. 得知; 学习，学会; 习得; 记住; vt. 学习; 得知; 记住; 认识到; v
inspect,英 [?n?spekt]美 [?n?sp?kt],vt. 视察; 检查，检验; vi. 进行检查; 进行视察;
break,英 [bre?k]美 [brek],vt. （使）破; 打破（纪录）; （常指好天气）突变; 开始; vi. 突破; （嗓音）突变; 破
question,英 [?kwest??n]美 [?kw?st??n],n. 问题; 疑问; 怀疑; 议题; vt. 问（某人）问题; 对（某事物）表示[感到]怀疑;
target,英 [?tɑ:g?t]美 [?tɑrg?t],n. 目标; 目的; （服务的）对象; （射击的）靶子; vt. 瞄准; 把…作为攻击目标;
public,英 [?p?bl?k]美 [?p?bl?k],adj. 公开的; 公众的，公共的; 政府的; 人人知道的，知名的; n. 大众; 社会; 公共场所
issue,英 [???u:]美 [???u],n. 问题; （报刊的）期，号; 发行物; 流出; vt. 发行; 发布; 流出; vi. 发行; 
generate,英 [?d?en?re?t]美 [?d??n??ret],vt. 形成，造成; 产生物理反应; 产生（后代）; 引起;
engineering,英 [?end???n??r??]美 [?end???n?r??],n. 工程（学）， 工程师行业; 操纵，管理; 土木工程，工事; 开车技术;
manager,英 [?m?n?d??(r)]美 [?m?n?d??],n. 处理者，经理，管理人; 干事，理事; 〈美〉（政党等的）领袖; 策士，干才，干练的人;
company,英 [?k?mp?ni]美 [?k?mp?ni],n. 公司，商号; 作伴，伴侣，客人; 连队，中队; （社交）集会，聚会;
technique,英 [tek?ni:k]美 [t?k?nik],n. 技术; 技巧; 技能; 技艺;
matching,英 [?m?t???]美 [?m?t???],v. 使…相配(match的ing形式); adj. 相配的; 一致的; 相称的; n. 匹配;
placement,英 [?ple?sm?nt]美 [?ple?sm?nt],n. 安置，放置; 实习工作，实习课; 定位，[足]定位球;
token,英 [?t??k?n]美 [?to?k?n],n. 象征; 记号; 代币; adj. 象征性的; 作为对某事的保证的; 作为标志的; vt. 预兆
header,英 [?hed?(r)]美 [?h?d?],n. 头球; 割穗机; （计算机打印时自动加在各页顶端的）标头; 集管;
polynomial,英 [?p?l?'n??m??l]美 [?p?l?'no?m?rl],adj. 多项式的，多词学名（指由两个以上的词构成的学名）的; n. 多项式，由2字以上组成的学名;
framework,英 [?fre?mw?:k]美 [?fre?mw?rk],n. 框架; 构架; （体系的）结构; 机构，组织;
factor,英 [?f?kt?(r)]美 [?f?kt?],n. 因素; <数>因子; 代理人; vt. 把…因素包括进去; [数学]分解…的因子，将…分解成因
commit,英 [k??m?t]美 [k??m?t],vt. 犯罪，做错事; 把…托付给; 保证（做某事、遵守协议或遵从安排等）; 承诺，使…承担义务;
links,英 [l??ks]美 [l??ks],n. 高尔夫球场，沙丘，链接; 环( link的名词复数 ); [计算机]链接; 交通路线; [电子
raised,英 [re?zd]美 [rezd],adj. 凸起的; 浮雕的; 有凸起花纹的; 发酵的; v. 引起( raise的过去式和过去分词 
configuration,英 [k?n?f?g??re??n]美 [k?n?f?gj??re??n],n. 配置; 布局，构造; [化]（分子中原子的）组态，排列; [物]位形，组态;
computer,英 [k?m?pju:t?(r)]美 [k?m?pjut?],n. （电子）计算机，电脑;
abstract,英 [??bstr?kt]美 [??b?str?kt],adj. 抽象的，理论上的; 难解的; 抽象派的; 茫然的; n. 摘要; 抽象概念; 抽象派艺术作
total,英 [?t??tl]美 [?to?tl],adj. 总计的（金额等）; 全部的; 完全的; 绝对的; n. 总计，总数; 全体数量; vt.&
prefix,英 [?pri:f?ks]美 [?pri?f?ks],n. <语>前缀; 人名前的称谓; 前置代号（置于前面的单词或字母、数字）; vt. 在…前加前缀;
counter,英 [?ka?nt?(r)]美 [?ka?nt?],n. 计数器; 柜台; 对立面; （某些棋盘游戏的）筹码; adj. 相反的; vt. 反击，还击;
interactive,英 [??nt?r??kt?v]美 [??nt???kt?v],adj. 互动的; 互相作用的，相互影响的; [计]交互式的; n. 交互式视频设备;
applied,英 [??pla?d]美 [??pla?d],adj. （尤指某种科学）应用的，实用的; v. 应用( apply的过去式和过去分词 ); [ap
unique,英 [ju?ni:k]美 [ju?nik],adj. 唯一的，仅有的; 独一无二的，独特的; 不平常的，特别的; 超绝;
execution,英 [?eks??kju:?n]美 [??ks??kju??n],n. 依法处决; 实行，执行; 演奏;
representation,英 [?repr?zen?te??n]美 [?r?pr?z?n?te??n],n. 表现; 陈述; 表现…的事物; 有代理人;
passing,英 [?pɑ:s??]美 [?p?s??],adj. 经过的，路过的; 短暂的; 及格的; 正在发生的; adv. 非常地; 无以伦比地; n.
display,英 [d??sple?]美 [d??sple],n. 显示器; 展览，陈列; 陈列品，展览品; 炫耀; vt. 显示; 陈列; 展开，伸展; 夸示，
trying,英 [?tra???]美 [?tra???],adj. 令人难于忍受的; 难堪的; 令人厌烦的; v. 试图( try的现在分词); 试验，尝试;
machine,英 [m???i:n]美 [m???in],n. 机器，机械; 机械般的人; 核心; vt. 用机器制造，用机器加工; vi. 被机器切削;
status,"英 [?ste?t?s]美 [?stet?s, ?st?t?s]",n. 地位; 身份; 情形，状态;
decode,英 [?di:?k??d]美 [?di?ko?d],vt. 译（码），解（码）; 分析及译解电子信号;
enter,英 [?ent?(r)]美 [??nt?],vt.& vi. 进入; 参加; 开始; 登记;
pointer,英 [?p??nt?(r)]美 [?p??nt?],n. 教鞭; 建议; 线索; （测量仪器上的）指针;
introduction,英 [??ntr??d?k?n]美 [??ntr??d?k??n],n. 介绍; 引言，导言; 采用，引进; 新采用的东西;
internal,英 [?n?t?:nl]美 [?n?t?rnl],adj. 内部的; 国内的; 体内的; 内心的; prep. （机构）内部的; n. 内脏，内部器官
lower,英 [?l???(r)]美 [?lo??(r)],adj. 下方的; 在底部的; 较低级的; v. 降低; 减少; 缩小;
entry,英 [?entri]美 [??ntri],n. 进入，入场; 入口处，门口; 登记，记录; 参加比赛的人;
partial,英 [?pɑ:?l]美 [?pɑr?l],adj. 部分的; 偏爱的; 偏袒的; 钟爱的; n. [数学]偏微商;
author,英 [??:θ?(r)]美 [??θ?],n. 作者; 著作家; 创造者; 发起人; vt. 创作出版;
distribution,英 [?d?str??bju:?n]美 [?d?str??bju??n],n. 分配，分布; [法]（无遗嘱死亡者的）财产分配; [无线]频率分布; [电]配电;
creation,英 [kri?e??n]美 [kri?e??n],n. 制造，创造; 创造物，产物; （尤指<圣经>所述由上帝）创造天地，宇宙; （爵位等的）封授;
equal,英 [?i:kw?l]美 [?ikw?l],adj. 相等的，平等的; 平稳的; 势均力敌的; 胜任的; vt. 等于; 比得上; 使相等; 同
choice,英 [t???s]美 [t???s],n. 选择; 选择权; 精选品; 入选者; adj. 上等的，精选的;
reason,英 [?ri:zn]美 [?riz?n],n. 原因; 理由; 理性; 理智; vt.& vi. 推理，思考; 争辩; 辩论; 向…解释;
loader,英 ['l??d?]美 ['lo?d?],n. 装货的人，装货设备，装弹机; 装板机;
having,英 ['h?v??]美 ['h?v??],n. 所有，持有; v. 有( have的现在分词 ); （亲属关系中）接受; 拿; 买到;
initial,英 [??n??l]美 [??n???l],adj. 最初的; 开始的; 首字母的; n. 首字母; [语音学]声母; 特大的大写字母; vt.
password,英 [?pɑ:sw?:d]美 [?p?sw?rd],n. （进入房间、建筑或某个地区的）口令; <计>（使用计算机操作系统的）密码;
faster,英 ['fa:st?]美 ['fast?],adj. 更快的; 快的( fast的比较级 ); 走得快; 感光快的; [摄影术]快动作的（镜头）
private,英 [?pra?v?t]美 [?pra?v?t],adj. 私有的，私人的; 秘密的; 内心的; 平民的，无官职的，士兵的; n. 列兵，士兵，[陆]
slice,英 [sla?s]美 [sla?s],vt. 切成片; 切下; 划分; n. 薄片; 一部分; （因失误而打出的）曲线球; vi. 斜击;
longer,英 [?l??g?(r)]美 [?l??],adj. 比较久的; （距离，长度）长的( long的比较级 ); 长时间的; （因忙或不愉快等）似
render,英 [?rend?(r)]美 [?r?nd?],v. 给予; 使成为; 递交; 表达;
prior,英 [?pra??(r)]美 [?pra??],adj. 优先的; 占先的; 在…之前; n. 小修道院院长，大修道院的副院长; （隐修院）会长; 
